B7_MAMÁ_CONSERVADOR_1CONFORMIDAD,B16_MAMÁ_CONSERVADOR_2CONFORMIDAD,B28_MAMÁ_CONSERVADOR_3CONFORMIDAD,B36_MAMÁ_CONSERVADOR_4CONFORMIDAD,B9_MAMÁ_CONSERVADOR_1TRADICION,B20_MAMÁ_CONSERVADOR_2TRADICION,B25_MAMÁ_CONSERVADOR_3TRADICION,B38_MAMÁ_CONSERVADOR_4TRADICION,B5_MAMÁ_CONSERVADOR_1SEGURIDAD,B14_MAMÁ_CONSERVADOR_2SEGURIDAD,B21_MAMÁ_CONSERVADOR_3SEGURIDAD,B31_MAMÁ_CONSERVADOR_4SEGURIDAD,B35_MAMÁ_CONSERVADOR_5SEGURIDAD,B12_MAMÁ_AUTOTRASCENDENCIA_1BENEVOLENCIA,B18_MAMÁ_AUTOTRASCENDENCIA_2BENEVOLENCIA,B27_MAMÁ_AUTOTRASCENDENCIA_3BENEVOLENCIA,B33_MAMÁ_AUTOTRASCENDENCIA_4BENEVOLENCIA,B3_MAMÁ_AUTOTRASCENDENCIA_1UNIVERSALISMO,B8_MAMÁ_AUTOTRASCENDENCIA_2UNIVERSALISMO,B19_MAMÁ_AUTOTRASCENDENCIA_3UNIVERSALISMO,B23_MAMÁ_AUTOTRASCENDENCIA_4UNIVERSALISMO,B29_MAMÁ_AUTOTRASCENDENCIA_5UNVIERSALISMO,B40_MAMÁ_AUTOTRASCENDENCIA_6UNIVERSALISMO,B1_MAMÁ_APERTURA_AL_CAMBIO_1AUTODIRECCION,B11_MAMÁ_APERTURA_AL_CAMBIO_2AUTODIRECCION,B22_MAMÁ_APERTURA_AL_CAMBIO_3AUTODIRECCION,B34_MAMÁ_APERTURA_AL_CAMBIO_4AUTODIRECCION,B6_MAMÁ_APERTURA_AL_CAMBIO_1ESTIMULACION,B15_MAMÁ_APERTURA_AL_CAMBIO_2ESTIMULACION,B30_MAMÁ_APERTURA_AL_CAMBIO_3ESTIMULACION,B4_MAMÁ_SUPERACION_1LOGRO,B13_MAMÁ_SUPERACION_2LOGRO,B24_MAMÁ_SUPERACION_3LOGRO,B32_MAMÁ_SUPERACION_4LOGRO,B2_MAMÁ_SUPERACION_1PODER,B17_MAMÁ_SUPERACION_2PODER,B39_MAMÁ_SUPERACION_3PODER,B49_MAMÁ_PPASS_1_AS_1ELECCION,B52_MAMÁ_PPASS_4_AS_2ELECCION,B56_MAMÁ_PPASS_8_AS_3ELECCION,B62_MAMÁ_PPASS_14_AS_4ELECCION,B50_MAMÁ_PPASS_2_AS_1EXPLICACION,B57_MAMÁ_PPASS_9_AS_2EXPLICACION,B67_MAMÁ_PPASS_19_AS_3EXPLICACION,B71_MAMÁ_PPASS_23_AS_4EXPLICACION,B55_MAMÁ_PPASS_7_AS_1EMPATIA,B61_MAMÁ_PPASS_13_AS_2EMPATIA,B64_MAMÁ_PPASS_16_AS_3EMPATIA,B72_MAMÁ_PPASS_24_AS_4EMPATIA,B51_MAMÁ_PPASS_3_PC_1CASTIGO,B58_MAMÁ_PPASS_10_PC_2CASTIGO,B63_MAMÁ_PPASS_15_PC_3CASTIGO,B68_MAMÁ_PPASS_20_PC_4CASTIGO,B53_MAMÁ_PPASS_5_PC_1PRESION,B59_MAMÁ_PPASS_11_PC_2PRESION,B65_MAMÁ_PPASS_17_PC_3PRESION,B70_MAMÁ_PPASS_22_PC_4PRESION,B54_MAMÁ_PPASS_6_PC_1CULPAR,B60_MAMÁ_PPASS_12_PC_2CULPAR,B66_MAMÁ_PPASS_18_PC_3CULPAR,B69_MAMÁ_PPASS_21_PC_4CULPAR,ICAST_2MAMA,ICAST_5MAMA,ICAST_12MAMA,ICAST_13MAMA,ICAST_14MAMA,ICAST_17MAMA,ICAST_18MAMA,ICAST_19MAMA,ICAST_21MAMA,ICAST_24MAMA,ICAST_25MAMA,ICAST_26MAMA,ICAST_27MAMA,ICAST_32MAMA,ICAST_33MAMA,ICAST_43MAMA,ICAST_45MAMA,ICAST_47MAMA,ICAST_48MAMA,YSR_5,YSR_14,YSR_30,YSR_32,YSR_33,YSR_35,YSR_42,YSR_47,YSR_51,YSR_52,YSR_54,YSR_56B,YSR_56C,YSR_56D,YSR_56E,YSR_56F,YSR_65,YSR_69,YSR_91,YSR_103,YSR_111,YSR_2,YSR_3,YSR_16,YSR_20,YSR_21,YSR_28,YSR_57,YSR_67,YSR_82,YSR_94,YSR_96,YSR_97,YSR_99,YSR_104,YSR_105,SEXO_F1Y2,EDAD_F1Y2,NSE,EST_FAM,EDAD_MAMA,ESC_MAMA,EDAD_PAPA,ESCOL_PAPA,HOMBRE,MUJER,Lat_Conservador,Lat_Apertura,Lat_Trascedencia,Lat_Superacion,Lat_Autonomía,Lat_Control,Lat_Psicologico,Lat_Fisico,Lat_Negligencia,Lat_Ineriorizados,Lat_Exteriorizados
3,3,4,2,4,2,2,3,4,2,4,4,3,4,4,3,3,4,3,3,4,4,3,3,4,4,4,3,3,2,2,2,1,3,1,2,1,2,4,3,2,2,3,4,3,3,3,3,2,1,1,1,1,3,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,2,31,3,98,3, ,1,-.096,.376,.361,-.217,-.414,-1.139,-.503,-.407,-.326,-1.046,-.73
4,4,4,3,4,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,2,3,3,1,3,1,1,2,2,4,4,3,4,4,4,4,4,4,4,4,1,1,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,2,14,5,1,37,5,38,4, ,1,.705,.431,1.721,.168,1.179,-1.066,-.503,-.407,-.326,-.05,.978
4,4,4,4,4,1,1,3,4,1,3,3,2,4,2,3,2,4,4,2,3,4,1,2,2,3,2,3,2,2,2,3,1,4,1,2,4,2,3,4,3,4,3,2,3,3,3,3,4,1,2,2,2,2,3,1,1,1,2,1,1,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,13,5,1,31,6,36,6, ,1,-.194,-.581,-.222,.491,-.179,.086,1.095,1.304,-.326,.548,.276
4,4,4,4,4,3,1,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,2,4,2,3,2,3,2,2,3,2,4,4,4,2,2,2,2,4,3,2,2,1,1,3,2,3,3,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,13,5,2,50,1,48,7, ,1,.904,.354,1.721,.552,-.478,.213,-.503,.425,-.326,-.241,.555
4,2,3,3,3,2,2,2,2,2,1,1,2,1,4,3,3,4,2,2,4,3,4,2,1,2,1,2,4,3,4,4,3,4,1,2,1,4,3,4,2,3,3,4,3,4,2,4,2,2,3,1,3,1,3,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,5,1,98,8,98,8,1, ,-1.282,-.894,-.339,1.162,-.068,.524,-.503,-.407,-.326,-.361,-.33
2,4,4,3,4,1,1,3,3,3,4,2,2,3,2,3,1,3,4,1,2,3,2,3,3,2,1,1,1,2,2,3,1,1,4,1,1,1,2,3,2,3,1,2,2,1,4,2,4,1,1,1,1,3,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,13,7,1,39,4,38,3,1, ,-.403,-1.179,-.858,-.034,-.898,-.78,-.503,-.407,-.326,.142,.731
3,4,4,4,3,4,1,3,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,2,4,3,2,2,3,3,2,3,3,2,4,3,3,3,3,1,3,4,4,3,3,4,4,1,1,1,1,2,2,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,1,98,4,98,4,1, ,.209,-.079,-.233,.881,.073,-.393,-.503,-.407,-.326,-.743,-1.333
4,4,2,3,3,3,3,3,3,3,2,4,3,3,3,4,1,4,2,2,2,3,3,3,2,3,4,1,1,1,1,1,1,2,1,1,1,4,4,4,2,3,2,4,4,4,4,4,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,2,1,2,2,1,0,0,1,1,1,0,2,0,1,2,2,0,2,13,3,1,44,3,48,2, ,1,-.514,-.943,-.492,-1.36,.556,.375,.845,1.008,1.207,1.049,2.156
3,3,2,4,4,2,1,4,4,3,4,4,2,3,2,4,2,4,1,4,2,4,3,4,3,2,4,2,1,1,1,1,1,2,1,1,1,4,4,4,2,4,4,4,4,4,3,4,4,4,2,2,2,4,2,3,4,1,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,1,2,1,0,0,1,0,1,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,13,3,1,38,4,35,4, ,1,-.062,-.639,-.075,-1.36,.965,.593,.771,-.407,1.295,1.039,-.474
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13, , , , , , ,1, ,-1.617,-.973,-1.31,.109,-1.145,.647,-.503,-.407,-.326,-.111,-.032
3,4,3,4,4,1,2,2,3,2,3,4,2,2,2,1,2,4,2,2,2,3,2,3,3,2,4,3,1,2,3,3,1,3,2,3,3,1,1,2,2,2,2,4,4,3,3,4,3,4,4,2,3,3,4,4,4,1,1,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6,2,35,3,98,4,1, ,-.509,-.328,-1.196,.609,-.429,.889,.811,-.407,-.326,-1.329,-.865
1,2,4,1,3,1,1,2,4,1,4,2,3,3,4,4,1,4,1,2,1,3,1,2,4,3,4,2,1,1,1,1,1,3,3,1,3,1,2,4,4,4,2,3,2,1,1,1,1,4,4,4,4,3,3,3,3,3,2,1,1,3,5,6,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,14,6,2,42,4,98,8, ,1,-1.021,-.705,-.708,-.472,-1.317,1.2,1.669,1.137,-.326,.244,.832
3,4,3,3,3,2,3,4,4,2,4,3,2,3,2,2,2,4,4,3,3,2,3,4,2,3,2,4,1,2,1,1,1,3,1,1,3,1,3,3,3,2,2,3,3,4,3,2,3,2,2,2,2,1,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,15,6,1,34,4,40,6,1, ,-.414,-.147,-.657,-.81,-.462,.165,-.503,-.407,-.326,-.279,-.132
3,3,3,3,3,3,1,4,3,2,3,3,2,3,3,2,4,3,3,1,3,3,1,1,3,1,3,1,1,1,1,2,1,2,1,2,1,3,3,3,3,3,2,3,3,3,1,2,2,1,1,1,1,1,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,6,1,46,2,57,3, ,1,-.753,-1.859,-.757,-.592,-.706,-.889,-.503,-.407,-.326,-.053,-1.333
1,1,2,1,3,1,1,1,3,1,2,1,1,2,1,1,1,3,1,1,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,2,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,2,1,1,0,0,0,0,0,2,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,14,2,1,35,3,36,3, ,1,-2.344,-1.19,-2.34,-1.713,-1.473,-1.22,-.503,-.407,-.326,1.046,.535
4,4,4,4,4,3,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,2,4,3,3,2,3,3,3,4,1,3,1,3,3,2,3,2,3,2,2,3,3,3,2,1,3,4,1,3,1,4,4,4,4,3,2,3,1,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,14,5,1,38,4,45,5, ,1,1.737,-.225,.958,.739,-.769,.967,.351,1.264,1.004,.362,.237
3,4,4,3,3,1,2,4,4,4,4,4,3,4,3,2,4,4,3,3,2,3,2,4,4,3,4,4,2,3,2,1,1,3,1,1,1,1,1,1,2,2,1,4,3,2,2,3,1,3,3,1,1,1,3,1,4,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,14,6,1,31,3,31,3,1, ,.362,.806,-.338,-.784,-1.203,-.133,.351,-.407,-.326,.166,.392
4,4,4,4,4,2,1,3,4,1,4,3,3,4,3,3,4,3,3,4,3,2,3,4,4,4,4,4,3,2,2,2,1,3,2,2,2,3,4,4,3,4,4,4,4,3,4,4,4,1,1,1,1,2,4,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,1,1,0,1,14,6,1,38,4,38,3,1, ,.25,1.073,-.077,.046,.872,-.484,-.503,-.407,-.326,-1.02,1.158
1,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,14,7,3,40,5,42,5, ,1,.945,1.194,1.721,1.169,1.176,-.408,-.503,-.407,-.326,.208,.561
3,3,4,4,4,1,3,4,4,3,4,3,4,4,4,4,4,4,2,3,4,4,4,3,4,4,2,2,1,2,2,1,1,2,2,2,1,4,4,1,2,2,4,4,2,4,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,14,4,5,56,5,62,2, ,1,.537,-.405,.937,-.53,-.467,-1.432,-.503,-.407,-.326,-.365,-.34
